순번,정류장명,위도,경도, 
10624,고속버스터미널,36.78453530 ,127.01491260 , 
10625,음봉농협,36.84980460 ,127.01355830 , 
10626,신창초등학교,36.77804660 ,126.93468790 , 
10627,안골마을회관,36.87042630 ,126.98324390 , 
10628,성내1리 쇠재,36.88044910 ,126.99234420 , 
10629,한성공장앞,36.87665830 ,126.97263760 , 
10630,안골,36.87522090 ,126.97988480 , 
10631,신화초등학교,36.88527610 ,126.96736570 , 
10632,새말,36.90162110 ,127.02046370 , 
10633,다라미자운영마을,36.73051820 ,127.00808490 , 
10634,다라미자운영마을,36.73095980 ,127.00807090 , 
10635,창용리삼양,36.91233370 ,126.98218010 , 
10636,창용리삼양,36.91242320 ,126.98203910 , 
10637,북수2리마을입구,36.77099140 ,127.07645370 , 
10638,북수2리마을입구,36.77120240 ,127.07623960 , 
10639,이순신종합운동장,36.77148620 ,127.02151070 , 
10640,인주공단교차로,36.87135530 ,126.88194060 , 
10641,인주공단교차로,36.87166110 ,126.88180910 , 
10642,유한,36.91586390 ,127.02267040 , 
10643,가스코,36.91550660 ,127.02236390 , 
10644,쌍죽리,36.82532030 ,126.98243390 , 
10645,쌍죽리,36.82527580 ,126.98257440 , 
10646,신2통입구,36.78482870 ,127.03075230 , 
10647,신2통입구,36.78481910 ,127.03060670 , 
10649,온양6동입구,36.75496520 ,127.01889660 , 
10650,온양6동입구,36.75498280 ,127.01877890 , 
10651,이지더원4단지,36.92511370 ,127.05424730 , 
10652,이지더원3단지,36.92510420 ,127.05412380 , 
10653,캐슬어울림2단지,36.78075650 ,127.02118420 , 
10654,e편한세상,36.78068360 ,127.02099410 , 
10655,한남프레시앙아파트,36.80827740 ,127.00728860 , 
10656,신왕1리마을회관,36.92349710 ,127.08528200 , 
10657,신왕2리 새터,36.92062720 ,127.08822790 , 
10658,이지더원5단지,36.92623280 ,127.05412620 , 
10659,이지더원6단지,36.92623790 ,127.05427210 , 
10660,세교4리 속셈말,36.77308170 ,127.09636370 , 
10661,갤러리아백화점앞,36.79945800 ,127.10421770 , 
10662,갤러리아백화점앞,36.79948090 ,127.10433530 , 
10663,롯데캐슬1단지,36.78419140 ,127.02193940 , 
10664,롯데캐슬1단지,36.78424660 ,127.02221370 , 
10665,롯데캐슬3단지,36.77959680 ,127.02377780 , 
10666,롯데캐슬3단지,36.77963850 ,127.02406900 , 
10667,캐슬어울림1단지,36.78319710 ,127.02015250 , 
10668,푸르지오아파트,36.78316500 ,127.02000700 , 
10669,한남프레시앙아파트,36.80838090 ,127.00725430 , 
10670,신왕1리 마을회관,36.92345640 ,127.08523170 , 
10671,신왕2리 새터,36.92067230 ,127.08822760 , 
10672,세교4리 속셈말,36.77312490 ,127.09636570 , 
10673,농은리 점밭골,36.70764790 ,126.92279320 , 
10674,농은리 점밭골,36.70771130 ,126.92285430 , 
10675,선문대학교,36.79992280 ,127.07108760 , 
10676,선문대학교,36.79995020 ,127.07117710 , 
10677,창암3리마을회관,36.76064250 ,126.96360390 , 
10678,창암3리마을회관,36.76057990 ,126.96372760 , 
